Timestamp_PC (s),DeltaT_uC (ms),DeltaT_uC (s),Acel_X (m/s²),Acel_Y (m/s²),Acel_Z (m/s²)
3.742,12,0.012,0.0,0.038308,9.730035
3.751,11,0.011,0.019154,0.019153,9.758765
3.757,11,0.011,0.019154,0.019153,9.758765
3.762,12,0.012,0.019153,0.009577,9.710881
3.866,11,0.011,0.019153,0.009577,9.710881
3.866,11,0.011,0.019153,0.019154,9.701305
3.878,12,0.012,0.019153,0.019154,9.749189
3.881,11,0.011,0.0,0.047885,9.749189
3.887,11,0.011,0.02873,0.047885,9.739612
3.892,11,0.011,0.02873,0.047885,9.739612
3.893,12,0.012,0.019153,0.019154,9.739612
3.900,11,0.011,0.019153,0.019154,9.739612
3.902,11,0.011,0.019153,0.019154,9.730035
3.908,12,0.012,0.019153,0.019154,9.730035
3.913,11,0.011,0.009576,0.0,9.758765
3.917,11,0.011,0.009577,0.0,9.730035
3.923,12,0.012,0.009577,0.0,9.730035
3.926,11,0.011,0.019153,0.076615,9.720458
3.932,11,0.011,0.019153,0.076615,9.720458
4.038,11,0.011,0.02873,0.067038,9.730035
4.041,12,0.012,0.02873,0.067038,9.730035
4.041,11,0.011,0.019153,0.028731,9.768342
4.053,11,0.011,0.067037,0.047885,9.749189
4.057,12,0.012,0.067037,0.047885,9.749189
4.062,11,0.011,0.009576,0.009577,9.749189
4.066,11,0.011,0.009576,0.009577,9.749189
4.070,12,0.012,0.02873,0.009577,9.758765
4.075,11,0.011,0.02873,0.009577,9.758765
4.076,11,0.011,0.009576,0.038308,9.730035
4.076,11,0.011,0.009576,0.038308,9.720458
4.086,12,0.012,0.0,0.019154,9.720458
4.091,11,0.011,0.009577,0.038308,9.710881
4.097,11,0.011,0.009577,0.038308,9.710881
4.098,12,0.012,0.009577,0.009577,9.730035
4.200,11,0.011,0.009577,0.009577,9.730035
4.212,11,0.011,0.019153,0.038308,9.749189
4.212,12,0.012,0.019153,0.038308,9.749189
4.222,11,0.011,0.0,0.047885,9.758765
4.225,11,0.011,0.019153,0.047885,9.749189
4.231,11,0.011,0.019153,0.047885,9.749189
